k,dir,t_start,duration,n,n_dropped,n_glitch,Vmin,Vmax,sigma_I,sigma_b,a_i,b_i,Vf,dVf,Vp,Te,Te_r2,Te_Vlo,Te_Vhi,Te_npts,Te_lo,Te_hi,te_alpha,te_beta,Ies,Iis,Iis_vf,ne,ni,lambdaD,Vp_expected,I_lo,I_hi,dIdV_max,hysteresis,flags
20,up,347.6449890136719,17.88702392578125,1457,0,0,-9.98259162902832,9.992658615112305,1.1849502885672071e-09,1.7343767255559942e-09,-2.40693721021119e-09,6.71306890515809e-10,-0.8859422948426855,0.23557420790346104,8.31554889678955,1.6065856312487532,0.974848522943559,-0.7313411235809326,2.6175994873046875,245.0,1.207299160347332,2.23208597047789,-18.871558556836938,0.6224380329000755,9.02226112148496e-08,-8.790823465275862e-09,-3.0016763773384735e-09,265541432882.24643,4566192992873.114,0.01828542083998149,7.425304159461836,-8.637611439048303e-09,1.151131238612002e-07,1.746302227759171e-08,1.2,te_nonexponential
21,down,365.54400634765625,17.936981201171875,1457,0,0,-9.983345985412598,9.993412971496582,1.2000968005574954e-09,1.756413567276645e-09,-9.319355758147291e-09,1.861545275604772e-12,1.5270053589956831,0.35357403585500485,,2.2170920527035305,0.9958833965352195,1.5384881496429443,4.600118160247803,224.0,1.9907391775943346,2.5488260982279076,-19.139437635525805,0.45104126316297793,1.222970832752236e-07,-9.362368760464654e-09,-9.31651316853543e-09,306403045905.2774,4139715772279.8213,0.019996983652067767,12.996545546266203,-9.457141365512258e-09,1.1299597555033029e-07,2.734299832185173e-08,1.2,vp_beyond_range;not_saturated
22,up,383.489990234375,17.91400146484375,1457,0,0,-9.984100341796875,9.992658615112305,1.189925388941891e-09,1.7415270969921616e-09,-1.362564929337168e-09,7.886255172276843e-10,-0.6696338122705902,0.2712886641789299,,1.7996678570596158,0.9663465315700391,-0.31885048747062683,3.455400228500366,276.0,1.2963616592871232,2.6451262102477875,-18.985396202748127,0.5556580877283924,1.0471831691662841e-07,-8.946559650307122e-09,-1.8906552408922082e-09,291202644613.213,4390727915665.652,0.01848066908789619,8.640472543085348,-9.1605941101677e-09,1.110839746009534e-07,1.7975694197597338e-08,1.1,vp_beyond_range;not_saturated;te_nonexponential
23,down,401.4049987792969,17.906005859375,1457,0,0,-9.983345985412598,9.993412971496582,1.1873962155573194e-09,1.7378255002171407e-09,-8.611008289570149e-09,9.872912032851877e-11,1.5801417047548747,0.16820706200302357,,2.148431543800598,0.9950724739670201,1.5807174444198608,4.625757217407227,223.0,1.896161941947717,2.5115816683028496,-19.258758318045725,0.46545583585641714,1.1711386885303583e-07,-9.438576234697097e-09,-8.455002289065294e-09,298068724691.47375,4239575478719.8545,0.01995821622670111,12.694484882870837,-9.40843370636597e-09,1.0947096307917389e-07,2.528562803327283e-08,1.1,vp_beyond_range;not_saturated;te_nonexponential
24,up,419.31201171875,17.90997314453125,1457,0,0,-9.98636245727539,9.992658615112305,1.1802111536710918e-09,1.7271141578279509e-09,-1.7692961714293844e-09,7.510101345230677e-10,-0.6099655155289122,0.3367404038108035,,1.8499727885703616,0.9651291600252656,-0.2517358958721161,3.373958110809326,265.0,1.3235219629515518,2.70226340550799,-18.94058607535507,0.5405484914039135,1.019495589378294e-07,-8.811558835943315e-09,-2.2273864553011853e-09,279622118957.4062,4265271874628.4707,0.01912124107739589,8.960380117161868,-9.072639986167051e-09,1.0753986929436753e-07,1.7156902213170626e-08,1.16,vp_beyond_range;not_saturated;te_nonexponential
25,down,437.2229919433594,17.8380126953125,1457,0,0,-9.981082916259766,9.993412971496582,1.2067158602423103e-09,1.7663010532764327e-09,-8.906474198064628e-09,4.0215548948895955e-11,1.6315091049353743,0.2958639880629814,,2.1599441244790825,0.9962523811328649,1.6335042715072632,4.560151100158691,214.0,1.9221636455980928,2.432343511470931,-19.250115258593993,0.46297493933606815,1.141113128411527e-07,-9.310454022699533e-09,-8.84086216379453e-09,289651835568.26965,4170866077022.538,0.020300291951792306,12.805409578649442,-9.329782713996951e-09,1.0559911732705451e-07,2.2026801710225465e-08,1.16,vp_beyond_range;not_saturated
26,up,455.06201171875,17.878997802734375,1457,0,0,-9.985608100891113,9.993412971496582,1.3782578577258635e-09,2.0169345560000925e-09,-1.8336366975439478e-09,7.17736841981355e-10,-0.6328019247372006,0.5079927566105078,,1.5430559667998331,0.9753716536707971,-0.1831132024526596,2.4524526596069336,193.0,1.1566984868408254,2.1179612583835827,-19.055754456374107,0.6480646337630351,7.514634966424024e-08,-8.723065917730238e-09,-2.2878219526045492e-09,225676267978.3738,4623330699273.266,0.019438693030233878,7.349790589108614,-8.57381161628576e-09,4.1737106167676504e-08,1.3544488265549981e-08,,vp_beyond_range;not_saturated;te_nonexponential;hysteresis_unresolved
27,down,472.9410095214844,17.915985107421875,1457,0,0,-9.978821754455566,9.992658615112305,1.2101412288836185e-09,1.7715823064819328e-09,-1.1754348522325592e-08,-1.9287298033880066e-09,9.058711958534584,0.04875591688033039,,,,,,0.0,,,,,5.5309521278543734e-08,6.605590546608231e-09,-2.9226156257058584e-08,,,,,6.980492497608115e-09,2.4645644763126754e-08,4.2886772734402856e-08,,vp_beyond_range;not_saturated;te_insufficient;ion_current_positive;hysteresis_unresolved
28,up,490.8689880371094,17.975006103515625,1457,0,0,-9.983345985412598,9.992658615112305,1.1268906514438603e-09,1.6493342638210294e-09,-9.198539244552139e-09,-1.676125236759166e-09,6.746359309009086,0.10937094053067614,,1.7901275558585754,0.9974176675609265,6.750800132751465,6.847324848175049,8.0,1.717356919190142,1.7676133850776634,-21.472059551367007,0.5586194105147905,7.248198169136008e-08,6.6591214373628666e-09,-2.0506282338627396e-08,202095624623.2411,,0.02212497055644622,16.007111435752563,7.1846459134610856e-09,4.6858068584206654e-08,2.2154111654089056e-08,,vp_beyond_range;not_saturated;ion_current_positive;hysteresis_unresolved
29,down,508.8529968261719,17.810028076171875,1457,0,0,-9.980329513549805,9.992658615112305,1.1706394677818123e-09,1.7136244609843225e-09,-8.560599956088531e-09,3.5263515773366324e-10,1.484199778134172,0.375480674332023,3.736678123474121,,,,,0.0,,,,,2.2081714548500665e-08,-1.1917233421825104e-08,-8.037218933217919e-09,,,,,-1.2370044331148154e-08,5.1217343058996184e-08,1.2407228158318332e-08,,te_insufficient;hysteresis_unresolved
