timestamp,DAC,GSE_I,V1,I1,I2,V2
2026-09-17T13:37:01.982,3240.0,0.089437507,-1.321263,nan,2.0664372e-06,9.0206289
2026-09-17T13:37:02.044,3285.0,0.089312501,-1.3191381,nan,2.0855582e-06,9.0063019
2026-09-17T13:37:02.090,3330.0,0.089812502,-1.316888,nan,2.0946634e-06,8.9934816
2026-09-17T13:37:02.112,3375.0,0.089937501,-1.314013,nan,2.067196e-06,8.9814167
2026-09-17T13:37:02.124,3420.0,0.089250006,-1.3132631,nan,2.0656782e-06,8.9663343
2026-09-17T13:37:02.129,3465.0,0.090000004,-1.309888,nan,2.0851028e-06,8.9520063
2026-09-17T13:37:02.135,3510.0,0.088875003,-1.307263,nan,2.060367e-06,8.939187
2026-09-17T13:37:02.144,3555.0,0.088625006,-1.306013,nan,2.039425e-06,8.924859
2026-09-17T13:37:02.153,3600.0,0.089000002,-1.3035131,nan,2.0612777e-06,8.9120398
2026-09-17T13:37:02.173,3645.0,0.089562505,-1.301263,nan,2.0637056e-06,8.8984661
2026-09-17T13:37:02.182,3690.0,0.088625006,-1.298763,nan,2.035631e-06,8.8833838
2026-09-17T13:37:02.182,3735.0,0.089500003,-1.297013,nan,2.0429154e-06,8.8698101
2026-09-17T13:37:02.183,3780.0,0.088562503,-1.294138,nan,2.0653749e-06,8.8554821
2026-09-17T13:37:02.183,3825.0,0.089375004,-1.290638,nan,2.0369969e-06,8.8441706
2026-09-17T13:37:02.184,3870.0,0.088750005,-1.290388,nan,2.0157513e-06,8.8275805
2026-09-17T13:37:02.184,3915.0,0.088437505,-1.287263,nan,2.0327477e-06,8.8155155
2026-09-17T13:37:02.185,3960.0,0.088312507,-1.285013,nan,2.0254636e-06,8.8011875
2026-09-17T13:37:02.185,4005.0,0.088625006,-1.282763,nan,1.9990584e-06,8.7868595
2026-09-17T13:37:02.193,4050.0,0.088687502,-1.280513,nan,2.0080117e-06,8.7732859
2026-09-17T13:37:02.205,4095.0,0.089125007,-1.278263,nan,2.0291056e-06,8.7597122
2026-09-17T13:37:02.217,4140.0,0.090125002,-1.276888,nan,2.0013347e-06,8.7476463
2026-09-17T13:37:02.229,4185.0,0.088500001,-1.2737631,nan,1.9878287e-06,8.7325649
2026-09-17T13:37:02.280,4230.0,0.087937504,-1.271513,nan,2.0077084e-06,8.7189903
2026-09-17T13:37:02.319,4275.0,0.088812508,-1.269513,nan,1.9966303e-06,8.706171
2026-09-17T13:37:02.346,4320.0,0.088812508,-1.2672631,nan,1.9720462e-06,8.6910896
2026-09-17T13:37:02.351,4365.0,0.088687502,-1.264763,nan,1.9852489e-06,8.6782694
2026-09-17T13:37:02.357,4410.0,0.089062504,-1.262638,nan,2.0052803e-06,8.6646957
2026-09-17T13:37:02.363,4455.0,0.087937504,-1.260013,nan,1.9741708e-06,8.6503677
2026-09-17T13:37:02.372,4500.0,0.089687504,-1.257638,nan,1.9674937e-06,8.636795
2026-09-17T13:37:02.381,4545.0,0.089187503,-1.255513,nan,1.9841866e-06,8.622467
2026-09-17T13:37:02.403,4590.0,0.088812508,-1.253013,nan,1.9640033e-06,8.608139
2026-09-17T13:37:02.405,4635.0,0.089250006,-1.250888,nan,1.9426059e-06,8.5953188
2026-09-17T13:37:02.406,4680.0,0.089187503,-1.2483881,nan,1.9585402e-06,8.5817461
2026-09-17T13:37:02.406,4725.0,0.088437505,-1.246263,nan,1.968556e-06,8.5689259
2026-09-17T13:37:02.407,4770.0,0.088187501,-1.244388,nan,1.9416955e-06,8.5553513
2026-09-17T13:37:02.407,4815.0,0.089125007,-1.241888,nan,1.9385086e-06,8.5410242
2026-09-17T13:37:02.407,4860.0,0.087875001,-1.239763,nan,1.960361e-06,8.5282049
2026-09-17T13:37:02.411,4905.0,0.089437507,-1.237388,nan,1.9354736e-06,8.5123692
2026-09-17T13:37:02.427,4950.0,0.089437507,-1.2366379,nan,1.9175666e-06,8.5010567
